,0,1,2,3
67,consensus independent component 32_s3,consensus independent component 45_s2,consensus independent component 46_s1,consensus independent component 116_big
68,consensus independent component 147_s3,consensus independent component 173_s2,consensus independent component 175_s1,consensus independent component 55_big
69,consensus independent component 150_s1,consensus independent component 246_s2,consensus independent component 158_s3,consensus independent component 138_big
70,consensus independent component 18_s3,consensus independent component 130_s2,consensus independent component 125_s1,consensus independent component 136_big
71,consensus independent component 153_s3,consensus independent component 134_s2,consensus independent component 102_s1,consensus independent component 88_big
72,consensus independent component 125_s3,consensus independent component 198_s2,consensus independent component 174_s1,consensus independent component 61_big
73,consensus independent component 112_s3,consensus independent component 41_s2,consensus independent component 41_s1,consensus independent component 32_big
74,consensus independent component 30_s3,consensus independent component 79_s2,consensus independent component 17_s1,consensus independent component 87_big
75,consensus independent component 124_s3,consensus independent component 95_s2,consensus independent component 127_s1,consensus independent component 51_big
76,consensus independent component 234_s3,consensus independent component 170_s2,consensus independent component 216_s1,consensus independent component 41_big
77,consensus independent component 171_s3,consensus independent component 28_s2,consensus independent component 159_s1,consensus independent component 68_big
78,consensus independent component 231_s3,consensus independent component 243_s2,consensus independent component 173_s1,consensus independent component 83_big
79,consensus independent component 163_s3,consensus independent component 144_s2,consensus independent component 251_s1,consensus independent component 30_big
80,consensus independent component 166_s3,consensus independent component 203_s2,consensus independent component 82_s1,consensus independent component 54_big
81,consensus independent component 249_s2,consensus independent component 242_s1,consensus independent component 157_big,
82,consensus independent component 31_s3,consensus independent component 5_s2,consensus independent component 49_s1,consensus independent component 71_big
83,consensus independent component 74_s3,consensus independent component 44_s2,consensus independent component 20_s1,consensus independent component 143_big
84,consensus independent component 114_s3,consensus independent component 26_s2,consensus independent component 29_s1,consensus independent component 122_big
85,consensus independent component 266_s3,consensus independent component 154_s2,consensus independent component 65_s1,consensus independent component 137_big
86,consensus independent component 202_s3,consensus independent component 34_s2,consensus independent component 40_s1,consensus independent component 130_big
87,consensus independent component 123_s1,consensus independent component 284_s2,consensus independent component 41_s3,consensus independent component 67_big
88,consensus independent component 3_s3,consensus independent component 24_s2,consensus independent component 55_s1,consensus independent component 29_big
89,consensus independent component 278_s1,consensus independent component 284_s2,consensus independent component 41_s3,consensus independent component 67_big
90,consensus independent component 232_s3,consensus independent component 257_s2,consensus independent component 167_big,
91,consensus independent component 104_s3,consensus independent component 124_s2,consensus independent component 79_s1,consensus independent component 113_big
92,consensus independent component 154_s1,consensus independent component 108_s2,consensus independent component 68_s3,consensus independent component 24_big
93,consensus independent component 133_s3,consensus independent component 188_s2,consensus independent component 26_s1,consensus independent component 57_big
94,consensus independent component 81_s3,consensus independent component 83_s2,consensus independent component 68_s1,consensus independent component 4_big
95,consensus independent component 106_s3,consensus independent component 68_s2,consensus independent component 23_s1,consensus independent component 23_big
96,consensus independent component 4_s3,consensus independent component 49_s2,consensus independent component 74_s1,consensus independent component 47_big
97,consensus independent component 136_s1,consensus independent component 18_s2,consensus independent component 49_s3,consensus independent component 135_big
98,consensus independent component 59_s3,consensus independent component 15_s2,consensus independent component 59_s1,consensus independent component 72_big
99,consensus independent component 13_s3,consensus independent component 6_s2,consensus independent component 120_s1,consensus independent component 109_big
100,consensus independent component 75_s3,consensus independent component 164_s2,consensus independent component 88_s1,consensus independent component 89_big
101,consensus independent component 22_s3,consensus independent component 30_s2,consensus independent component 15_s1,consensus independent component 1_big
102,consensus independent component 166_s2,consensus independent component 177_s1,consensus independent component 158_big,
103,consensus independent component 110_s3,consensus independent component 71_s2,consensus independent component 103_s1,consensus independent component 159_big
104,consensus independent component 38_s3,consensus independent component 17_s2,consensus independent component 35_s1,consensus independent component 15_big
105,consensus independent component 162_s3,consensus independent component 35_s2,consensus independent component 154_big,
106,consensus independent component 85_s3,consensus independent component 69_s2,consensus independent component 138_s1,consensus independent component 92_big
107,consensus independent component 119_s3,consensus independent component 192_s2,consensus independent component 171_s1,consensus independent component 145_big
108,consensus independent component 184_s3,consensus independent component 290_s2,consensus independent component 261_s1,consensus independent component 162_big
109,consensus independent component 113_s3,consensus independent component 88_s2,consensus independent component 119_s1,consensus independent component 79_big
110,consensus independent component 139_s3,consensus independent component 66_s2,consensus independent component 130_s1,consensus independent component 91_big
111,consensus independent component 123_s1,consensus independent component 147_s2,consensus independent component 41_s3,consensus independent component 67_big
112,consensus independent component 136_s3,consensus independent component 110_s2,consensus independent component 77_s1,consensus independent component 14_big
113,consensus independent component 79_s3,consensus independent component 57_s2,consensus independent component 54_s1,consensus independent component 50_big
114,consensus independent component 60_s2,consensus independent component 2_s1,consensus independent component 70_big,
115,consensus independent component 165_s3,consensus independent component 74_s2,consensus independent component 176_s1,consensus independent component 147_big
116,consensus independent component 53_s3,consensus independent component 21_s2,consensus independent component 80_s1,consensus independent component 131_big
117,consensus independent component 160_s1,consensus independent component 103_s2,consensus independent component 143_s3,consensus independent component 99_big
118,consensus independent component 54_s3,consensus independent component 80_s2,consensus independent component 57_s1,consensus independent component 111_big
119,consensus independent component 108_s1,consensus independent component 23_s2,consensus independent component 95_s3,consensus independent component 121_big
120,consensus independent component 67_s1,consensus independent component 145_s2,consensus independent component 185_s3,consensus independent component 82_big
121,consensus independent component 87_s3,consensus independent component 114_s2,consensus independent component 101_s1,consensus independent component 48_big
122,consensus independent component 84_s3,consensus independent component 31_s2,consensus independent component 7_s1,consensus independent component 31_big
123,consensus independent component 178_s1,consensus independent component 91_s2,consensus independent component 70_s3,consensus independent component 97_big
124,consensus independent component 176_s1,consensus independent component 74_s2,consensus independent component 165_s3,consensus independent component 101_big
125,consensus independent component 199_s3,consensus independent component 100_s2,consensus independent component 129_big,
126,consensus independent component 98_s3,consensus independent component 119_s2,consensus independent component 42_s1,consensus independent component 20_big
127,consensus independent component 270_s3,consensus independent component 176_s2,consensus independent component 106_big,
128,consensus independent component 157_s3,consensus independent component 90_s2,consensus independent component 147_s1,consensus independent component 8_big
129,consensus independent component 70_s3,consensus independent component 91_s2,consensus independent component 178_s1,consensus independent component 96_big
130,consensus independent component 113_s3,consensus independent component 88_s2,consensus independent component 119_s1,consensus independent component 155_big
