,Small Component,Big Component,Small2 Component,Big2 Component,Score
16,consensus independent component 108_s1,consensus independent component 113_big,consensus independent component 112_s2,consensus independent component 44_big,-0.7948433921046152
8,consensus independent component 104_s1,consensus independent component 33_big,consensus independent component 91_s2,consensus independent component 33_big,-0.7966234675533183
240,consensus independent component 54_s2,consensus independent component 117_big,consensus independent component 135_s1,consensus independent component 14_big,-0.8052527694607066
193,consensus independent component 33_s1,consensus independent component 64_big,consensus independent component 111_s2,consensus independent component 83_big,-0.8089265631358974
291,consensus independent component 78_s1,consensus independent component 17_big,consensus independent component 56_s2,consensus independent component 17_big,-0.810824564725394
195,consensus independent component 34_s1,consensus independent component 44_big,consensus independent component 112_s2,consensus independent component 44_big,-0.8120648402095643
239,consensus independent component 54_s1,consensus independent component 167_big,consensus independent component 25_s2,consensus independent component 55_big,-0.8165992336238836
36,consensus independent component 117_s1,consensus independent component 23_big,consensus independent component 48_s2,consensus independent component 2_big,-0.8193174669884423
42,consensus independent component 11_s1,consensus independent component 126_big,consensus independent component 126_s2,consensus independent component 163_big,-0.8201031297843724
249,consensus independent component 59_s1,consensus independent component 133_big,consensus independent component 25_s2,consensus independent component 55_big,-0.8206122039365026
44,consensus independent component 120_s1,consensus independent component 23_big,consensus independent component 48_s2,consensus independent component 2_big,-0.8207664964857928
164,consensus independent component 1_s2,consensus independent component 24_big,consensus independent component 27_s1,consensus independent component 107_big,-0.8224735349507728
233,consensus independent component 51_s1,consensus independent component 106_big,consensus independent component 58_s2,consensus independent component 86_big,-0.8237045029519264
65,consensus independent component 12_s2,consensus independent component 34_big,consensus independent component 3_s1,consensus independent component 111_big,-0.8278479269392608
39,consensus independent component 118_s2,consensus independent component 80_big,consensus independent component 39_s1,consensus independent component 147_big,-0.8348755544964951
74,consensus independent component 134_s1,consensus independent component 162_big,consensus independent component 48_s2,consensus independent component 2_big,-0.8436971579980607
250,consensus independent component 59_s2,consensus independent component 154_big,consensus independent component 142_s1,consensus independent component 112_big,-0.8513331686225106
54,consensus independent component 125_s1,consensus independent component 167_big,consensus independent component 48_s2,consensus independent component 2_big,-0.8562166353022361
30,consensus independent component 114_s1,consensus independent component 23_big,consensus independent component 57_s2,consensus independent component 72_big,-0.8632808788681031
