,Small Component,Big Component,Small2 Component,Big2 Component,Score
99,consensus independent component 106_HNSCC,consensus independent component 637_big,consensus independent component 118_Melanoma,consensus independent component 124_big,0.013429602840772603
2938,consensus independent component 70_Lung cancer,consensus independent component 945_big,consensus independent component 62_Colorectal cancer,consensus independent component 945_big,0.0133528038879972
2563,consensus independent component 54_Normal,consensus independent component 1663_big,consensus independent component 123_Brain cancer,consensus independent component 2051_big,0.01327361135324695
1604,consensus independent component 270_Breast cancer,consensus independent component 3081_big,consensus independent component 66_Colorectal cancer,consensus independent component 3081_big,0.01324405667049855
2593,consensus independent component 55_Prostate cancer,consensus independent component 2993_big,consensus independent component 159_Lymphoma,consensus independent component 3587_big,0.012323012960316071
1030,consensus independent component 175_Colorectal cancer,consensus independent component 160_big,consensus independent component 17_Normal,consensus independent component 160_big,0.012206209540475133
3484,consensus independent component 9_Colorectal cancer,consensus independent component 777_big,consensus independent component 143_Lung cancer,consensus independent component 777_big,0.012013376357557615
387,consensus independent component 125_Colorectal cancer,consensus independent component 12_big,consensus independent component 82_Brain cancer,consensus independent component 12_big,0.011939815064006765
1809,consensus independent component 30_Normal,consensus independent component 1712_big,consensus independent component 35_Leukemia,consensus independent component 1712_big,0.011919173951887907
411,consensus independent component 127_Brain cancer,consensus independent component 1522_big,consensus independent component 38_Normal,consensus independent component 1522_big,0.011608819976032358
3059,consensus independent component 77_Colorectal cancer,consensus independent component 89_big,consensus independent component 114_Lung cancer,consensus independent component 89_big,0.011030778481752601
618,consensus independent component 140_Gastric cancer,consensus independent component 2997_big,consensus independent component 9_Prostate cancer,consensus independent component 452_big,0.011002858696803619
2268,consensus independent component 44_Renal cancer,consensus independent component 3587_big,consensus independent component 60_HNSCC,consensus independent component 3587_big,0.010912313511520944
1609,consensus independent component 271_Sarcoma,consensus independent component 1557_big,consensus independent component 48_HNSCC,consensus independent component 701_big,0.010422768045227904
3229,consensus independent component 85_Multiple myeloma,consensus independent component 2888_big,consensus independent component 33_Myelodysplastic syndrome,consensus independent component 2888_big,0.010162788383736743
914,consensus independent component 163_Lung cancer,consensus independent component 2015_big,consensus independent component 136_Colorectal cancer,consensus independent component 1176_big,0.010019861679363806
2086,consensus independent component 392_Normal,consensus independent component 2806_big,consensus independent component 108_Lymphoma,consensus independent component 3692_big,0.009886609604062582
1233,consensus independent component 19_Brain cancer,consensus independent component 1293_big,consensus independent component 15_Multiple myeloma,consensus independent component 1293_big,0.009877722182396464
2473,consensus independent component 51_Leukemia,consensus independent component 79_big,consensus independent component 144_Breast cancer,consensus independent component 79_big,0.00958932071089369
280,consensus independent component 118_HCC,consensus independent component 447_big,consensus independent component 318_Sarcoma,consensus independent component 447_big,0.009306231876920368
2780,consensus independent component 62_Myelodysplastic syndrome,consensus independent component 837_big,consensus independent component 244_Sarcoma,consensus independent component 837_big,0.009205353302297159
2110,consensus independent component 39_Renal cancer,consensus independent component 3489_big,consensus independent component 271_Sarcoma,consensus independent component 1557_big,0.009172928549681506
3047,consensus independent component 76_Lymphoma,consensus independent component 451_big,consensus independent component 80_Brain cancer,consensus independent component 451_big,0.0087584523053858
514,consensus independent component 133_Lymphoma,consensus independent component 2995_big,consensus independent component 97_Melanoma,consensus independent component 2995_big,0.008666726170902694
1062,consensus independent component 179_Colorectal cancer,consensus independent component 147_big,consensus independent component 104_Lung cancer,consensus independent component 147_big,0.008510885086375153
3496,consensus independent component 9_Prostate cancer,consensus independent component 452_big,consensus independent component 224_Sarcoma,consensus independent component 452_big,0.008488652889536541
138,consensus independent component 109_Breast cancer,consensus independent component 810_big,consensus independent component 51_Colorectal cancer,consensus independent component 810_big,0.008315058026173938
988,consensus independent component 16_Sarcoma,consensus independent component 5_big,consensus independent component 95_Renal cancer,consensus independent component 3630_big,0.008066828775780258
356,consensus independent component 122_Ovarian cancer,consensus independent component 947_big,consensus independent component 116_HNSCC,consensus independent component 947_big,0.007989937130924912
3208,consensus independent component 84_Lung cancer,consensus independent component 810_big,consensus independent component 51_Colorectal cancer,consensus independent component 810_big,0.007915802249694237
439,consensus independent component 129_Colorectal cancer,consensus independent component 3587_big,consensus independent component 75_Lymphoma,consensus independent component 3587_big,0.007731345689610758
2953,consensus independent component 71_HCC,consensus independent component 2766_big,consensus independent component 69_Lymphoma,consensus independent component 2766_big,0.007684044577546012
3132,consensus independent component 80_Gastric cancer,consensus independent component 446_big,consensus independent component 80_Sarcoma,consensus independent component 347_big,0.007675157423248535
2297,consensus independent component 45_Sarcoma,consensus independent component 1955_big,consensus independent component 33_Brain cancer,consensus independent component 1955_big,0.007665338182580195
139,consensus independent component 109_Colorectal cancer,consensus independent component 172_big,consensus independent component 4_Lung cancer,consensus independent component 172_big,0.007547044625183852
3232,consensus independent component 85_Prostate cancer,consensus independent component 1522_big,consensus independent component 226_Sarcoma,consensus independent component 1522_big,0.007467226052867371
200,consensus independent component 112_Gastric cancer,consensus independent component 1293_big,consensus independent component 20_Melanoma,consensus independent component 1293_big,0.007059200828688217
3253,consensus independent component 87_Brain cancer,consensus independent component 1231_big,consensus independent component 72_Colorectal cancer,consensus independent component 1231_big,0.006853086967130939
3003,consensus independent component 74_Brain cancer,consensus independent component 1138_big,consensus independent component 136_HNSCC,consensus independent component 3156_big,0.006708611529569253
2337,consensus independent component 47_Brain cancer,consensus independent component 3587_big,consensus independent component 75_Lymphoma,consensus independent component 3587_big,0.006310211117749209
428,consensus independent component 128_HCC,consensus independent component 373_big,consensus independent component 57_Gastric cancer,consensus independent component 373_big,0.006194291845847577
3043,consensus independent component 76_HCC,consensus independent component 78_big,consensus independent component 38_Brain cancer,consensus independent component 78_big,0.00595256938547567
93,consensus independent component 106_Adrenal cancer,consensus independent component 3340_big,consensus independent component 105_Sarcoma,consensus independent component 3164_big,0.005693494208038219
1893,consensus independent component 32_HCC,consensus independent component 2997_big,consensus independent component 182_Gastric cancer,consensus independent component 11_big,0.005587695012902072
2173,consensus independent component 41_HCC,consensus independent component 3468_big,consensus independent component 151_Melanoma,consensus independent component 1258_big,0.005285608583890211
2044,consensus independent component 37_HNSCC,consensus independent component 318_big,consensus independent component 23_Melanoma,consensus independent component 318_big,0.004876003391867667
1350,consensus independent component 21_Gastric cancer,consensus independent component 83_big,consensus independent component 101_Adrenal cancer,consensus independent component 251_big,0.004809889347798885
2119,consensus independent component 3_Leukemia,consensus independent component 688_big,consensus independent component 98_Breast cancer,consensus independent component 688_big,0.004464469979955421
370,consensus independent component 123_Renal cancer,consensus independent component 79_big,consensus independent component 173_Lung cancer,consensus independent component 79_big,0.004172998796591776
229,consensus independent component 114_HNSCC,consensus independent component 2131_big,consensus independent component 171_Lung cancer,consensus independent component 3654_big,0.0037435570132091367
1008,consensus independent component 172_HCC,consensus independent component 926_big,consensus independent component 210_Sarcoma,consensus independent component 926_big,0.003225234780859343
3341,consensus independent component 91_Gastric cancer,consensus independent component 2789_big,consensus independent component 269_Breast cancer,consensus independent component 2789_big,0.003193639700346612
1314,consensus independent component 20_Renal cancer,consensus independent component 1293_big,consensus independent component 20_Melanoma,consensus independent component 1293_big,0.002810127483024838
2987,consensus independent component 73_Colorectal cancer,consensus independent component 837_big,consensus independent component 67_Lung cancer,consensus independent component 837_big,0.002794805680053747
1400,consensus independent component 22_HNSCC,consensus independent component 40_big,consensus independent component 46_Melanoma,consensus independent component 40_big,0.002642027101608879
1736,consensus independent component 29_HNSCC,consensus independent component 78_big,consensus independent component 76_HCC,consensus independent component 78_big,0.0017441841882607778
1904,consensus independent component 32_Renal cancer,consensus independent component 842_big,consensus independent component 93_HCC,consensus independent component 842_big,0.0015540963557619802
1621,consensus independent component 275_Sarcoma,consensus independent component 2722_big,consensus independent component 9_Melanoma,consensus independent component 1514_big,0.0014386263842850466
