,0,1,2,3,4,5,6
56,consensus independent component 51_Lung cancer,consensus independent component 179_Breast cancer,consensus independent component 1514_big,,,,
57,consensus independent component 23_Lung cancer,consensus independent component 6_Colorectal cancer,consensus independent component 361_big,,,,
58,consensus independent component 83_Lung cancer,consensus independent component 46_Breast cancer,consensus independent component 842_big,,,,
59,consensus independent component 28_Lung cancer,consensus independent component 233_Breast cancer,consensus independent component 161_big,,,,
60,consensus independent component 151_Breast cancer,consensus independent component 47_Colorectal cancer,consensus independent component 240_big,,,,
61,consensus independent component 40_Lung cancer,consensus independent component 176_Breast cancer,consensus independent component 2365_big,,,,
62,consensus independent component 31_Lung cancer,consensus independent component 63_Breast cancer,consensus independent component 22_Colorectal cancer,consensus independent component 1079_big,,,
63,consensus independent component 20_Lung cancer,consensus independent component 88_Breast cancer,consensus independent component 1503_big,,,,
64,consensus independent component 36_Lung cancer,consensus independent component 4_Breast cancer,consensus independent component 26_Colorectal cancer,consensus independent component 452_big,,,
65,consensus independent component 32_Lung cancer,consensus independent component 3_Breast cancer,consensus independent component 55_Colorectal cancer,consensus independent component 78_big,,,
66,consensus independent component 122_Breast cancer,consensus independent component 183_Colorectal cancer,consensus independent component 521_big,,,,
67,consensus independent component 281_Breast cancer,consensus independent component 103_Colorectal cancer,consensus independent component 805_big,,,,
68,consensus independent component 64_Breast cancer,consensus independent component 62_Colorectal cancer,consensus independent component 31_Multiple myeloma,consensus independent component 8_Normal,consensus independent component 7_Leukemia,consensus independent component 43_Brain cancer,consensus independent component 945_big
69,consensus independent component 119_Lung cancer,consensus independent component 131_Breast cancer,consensus independent component 123_Colorectal cancer,consensus independent component 2856_big,,,
70,consensus independent component 30_Lymphoma,consensus independent component 79_Multiple myeloma,consensus independent component 154_Brain cancer,consensus independent component 855_big,,,
71,consensus independent component 141_Breast cancer,consensus independent component 35_Colorectal cancer,consensus independent component 57_Normal,consensus independent component 2869_big,,,
72,consensus independent component 12_Lung cancer,consensus independent component 43_Breast cancer,consensus independent component 20_Colorectal cancer,consensus independent component 298_big,,,
73,consensus independent component 106_Breast cancer,consensus independent component 15_Colorectal cancer,consensus independent component 124_big,,,,
74,consensus independent component 4_Lung cancer,consensus independent component 225_Breast cancer,consensus independent component 109_Colorectal cancer,consensus independent component 172_big,,,
75,consensus independent component 88_Lung cancer,consensus independent component 70_Breast cancer,consensus independent component 65_Colorectal cancer,consensus independent component 10_Normal,consensus independent component 146_big,,
76,consensus independent component 50_Breast cancer,consensus independent component 22_Normal,consensus independent component 448_big,,,,
77,consensus independent component 109_Breast cancer,consensus independent component 51_Colorectal cancer,consensus independent component 52_Normal,consensus independent component 810_big,,,
78,consensus independent component 110_Lung cancer,consensus independent component 99_Breast cancer,consensus independent component 116_Colorectal cancer,consensus independent component 3_Normal,consensus independent component 1751_big,,
79,consensus independent component 212_Breast cancer,consensus independent component 57_Colorectal cancer,consensus independent component 451_big,,,,
80,consensus independent component 134_Breast cancer,consensus independent component 1_Multiple myeloma,consensus independent component 34_Normal,consensus independent component 808_big,,,
81,consensus independent component 124_Breast cancer,consensus independent component 43_Normal,consensus independent component 173_big,,,,
82,consensus independent component 117_Breast cancer,consensus independent component 73_Colorectal cancer,consensus independent component 21_Normal,consensus independent component 837_big,,,
83,consensus independent component 186_Lung cancer,consensus independent component 62_Lymphoma,consensus independent component 48_Multiple myeloma,consensus independent component 60_Leukemia,consensus independent component 447_big,,
84,consensus independent component 74_Breast cancer,consensus independent component 17_Colorectal cancer,consensus independent component 59_Multiple myeloma,consensus independent component 9_Normal,consensus independent component 57_Leukemia,consensus independent component 187_big,
85,consensus independent component 175_Colorectal cancer,consensus independent component 17_Normal,consensus independent component 160_big,,,,
86,consensus independent component 33_Lung cancer,consensus independent component 270_Breast cancer,consensus independent component 66_Colorectal cancer,consensus independent component 9_Lymphoma,consensus independent component 3081_big,,
87,consensus independent component 129_Colorectal cancer,consensus independent component 75_Lymphoma,consensus independent component 3587_big,,,,
88,consensus independent component 199_Breast cancer,consensus independent component 5_Leukemia,consensus independent component 1521_big,,,,
89,consensus independent component 184_Breast cancer,consensus independent component 74_Normal,consensus independent component 462_big,,,,
90,consensus independent component 87_Breast cancer,consensus independent component 45_Colorectal cancer,consensus independent component 232_Normal,consensus independent component 2766_big,,,
