Group,Spearman correlation,Spearman p value
2_Clustered,0.4649364575855762,1.4898080229607573e-10
3_Clustered,0.4135346991888153,1.8908870459248217e-08
4_Clustered,0.3574254761605187,1.593356300229005e-06
2_Random,0.28248880190070036,0.00018150180304549632
3_Random,0.18434460384629248,0.015793171307689258
4_Random,0.09547089737769074,0.21418992225029912
