,Small Component,Big Component,Small2 Component,Big2 Component,Score
10,consensus independent component 102_s3,consensus independent component 54_big,consensus independent component 81_s4,consensus independent component 112_big,0.7262239434522033
1157,consensus independent component 39_s4,consensus independent component 159_big,consensus independent component 29_s1,consensus independent component 53_big,0.7125970143604468
1345,consensus independent component 81_s4,consensus independent component 112_big,consensus independent component 102_s3,consensus independent component 54_big,0.710992578795352
1192,consensus independent component 47_s3,consensus independent component 53_big,consensus independent component 29_s1,consensus independent component 53_big,0.7029857229731057
216,consensus independent component 14_s1,consensus independent component 161_big,consensus independent component 81_s4,consensus independent component 112_big,0.7004095871771672
1191,consensus independent component 47_s2,consensus independent component 53_big,consensus independent component 29_s1,consensus independent component 53_big,0.6924363954383788
880,consensus independent component 29_s1,consensus independent component 53_big,consensus independent component 39_s4,consensus independent component 159_big,0.6912844076686828
314,consensus independent component 171_s3,consensus independent component 151_big,consensus independent component 185_s4,consensus independent component 151_big,0.641414993968334
375,consensus independent component 185_s4,consensus independent component 151_big,consensus independent component 171_s3,consensus independent component 151_big,0.639490612441751
637,consensus independent component 244_s2,consensus independent component 71_big,consensus independent component 167_s1,consensus independent component 2_big,0.6340662306634882
402,consensus independent component 191_s3,consensus independent component 164_big,consensus independent component 243_s4,consensus independent component 117_big,0.6258755959797139
292,consensus independent component 167_s1,consensus independent component 2_big,consensus independent component 191_s3,consensus independent component 164_big,0.6211578423320002
635,consensus independent component 243_s4,consensus independent component 117_big,consensus independent component 191_s3,consensus independent component 164_big,0.6075637035901807
569,consensus independent component 229_s2,consensus independent component 151_big,consensus independent component 171_s3,consensus independent component 151_big,0.5995201221231685
536,consensus independent component 221_s1,consensus independent component 151_big,consensus independent component 171_s3,consensus independent component 151_big,0.5888659397099933
1205,consensus independent component 4_s4,consensus independent component 89_big,consensus independent component 250_s2,consensus independent component 89_big,0.578719460917938
1338,consensus independent component 80_s1,consensus independent component 150_big,consensus independent component 32_s4,consensus independent component 150_big,0.5605998355246378
1124,consensus independent component 354_s4,consensus independent component 97_big,consensus independent component 186_s1,consensus independent component 156_big,0.5574420766607338
376,consensus independent component 186_s1,consensus independent component 156_big,consensus independent component 354_s4,consensus independent component 97_big,0.5562680320979957
245,consensus independent component 156_s2,consensus independent component 44_big,consensus independent component 80_s1,consensus independent component 150_big,0.5555172450145811
