,Small Component,Big Component,Small2 Component,Big2 Component,Score
31,consensus independent component 10_s2,consensus independent component 53_big,consensus independent component 129_s1,consensus independent component 159_big,0.684688554619822
65,consensus independent component 11_s3,consensus independent component 156_big,consensus independent component 10_s2,consensus independent component 53_big,0.5968821879452673
225,consensus independent component 21_s2,consensus independent component 153_big,consensus independent component 28_s1,consensus independent component 153_big,0.3717493442475917
408,consensus independent component 77_s2,consensus independent component 36_big,consensus independent component 188_s1,consensus independent component 156_big,0.30946133556683364
194,consensus independent component 17_s3,consensus independent component 105_big,consensus independent component 176_s1,consensus independent component 138_big,0.1772332383595251
187,consensus independent component 175_s1,consensus independent component 60_big,consensus independent component 49_s2,consensus independent component 74_big,0.16579540609207793
136,consensus independent component 142_s1,consensus independent component 31_big,consensus independent component 31_s2,consensus independent component 31_big,0.15700065061650462
307,consensus independent component 46_s3,consensus independent component 151_big,consensus independent component 100_s1,consensus independent component 151_big,0.0857577241231191
388,consensus independent component 70_s3,consensus independent component 72_big,consensus independent component 176_s1,consensus independent component 138_big,0.05622579058784602
481,consensus independent component 99_s3,consensus independent component 17_big,consensus independent component 10_s2,consensus independent component 53_big,0.043284918974913454
82,consensus independent component 125_s2,consensus independent component 159_big,consensus independent component 175_s1,consensus independent component 60_big,0.03333154859735901
310,consensus independent component 47_s3,consensus independent component 28_big,consensus independent component 74_s1,consensus independent component 54_big,0.03144861531038881
382,consensus independent component 69_s3,consensus independent component 157_big,consensus independent component 119_s1,consensus independent component 34_big,0.031246035360995086
262,consensus independent component 32_s3,consensus independent component 109_big,consensus independent component 74_s1,consensus independent component 54_big,0.025212641842875347
398,consensus independent component 74_s1,consensus independent component 54_big,consensus independent component 53_s3,consensus independent component 101_big,0.024492106295908686
170,consensus independent component 161_s1,consensus independent component 31_big,consensus independent component 17_s3,consensus independent component 105_big,0.021832590915962527
119,consensus independent component 136_s3,consensus independent component 53_big,consensus independent component 129_s1,consensus independent component 159_big,0.021740196374476745
376,consensus independent component 67_s3,consensus independent component 163_big,consensus independent component 176_s1,consensus independent component 138_big,0.017035372850580002
367,consensus independent component 64_s3,consensus independent component 130_big,consensus independent component 188_s1,consensus independent component 156_big,0.016858128093390948
288,consensus independent component 40_s2,consensus independent component 95_big,consensus independent component 117_s1,consensus independent component 54_big,0.014166073413480348
295,consensus independent component 42_s3,consensus independent component 87_big,consensus independent component 74_s1,consensus independent component 54_big,0.012814030698413956
27,consensus independent component 109_s1,consensus independent component 91_big,consensus independent component 101_s2,consensus independent component 63_big,0.012414271638201496
201,consensus independent component 186_s1,consensus independent component 24_big,consensus independent component 19_s3,consensus independent component 45_big,0.010439058188979222
127,consensus independent component 139_s2,consensus independent component 63_big,consensus independent component 109_s1,consensus independent component 91_big,-0.003633764918655316
151,consensus independent component 149_s3,consensus independent component 44_big,consensus independent component 129_s1,consensus independent component 159_big,-0.009494776149781892
403,consensus independent component 75_s3,consensus independent component 111_big,consensus independent component 20_s2,consensus independent component 111_big,-0.013739358321470219
457,consensus independent component 91_s3,consensus independent component 156_big,consensus independent component 74_s1,consensus independent component 54_big,-0.02084021660876454
2,consensus independent component 100_s3,consensus independent component 6_big,consensus independent component 130_s2,consensus independent component 170_big,-0.021571874825348808
369,consensus independent component 65_s2,consensus independent component 65_big,consensus independent component 185_s1,consensus independent component 55_big,-0.021789180797261443
370,consensus independent component 65_s3,consensus independent component 47_big,consensus independent component 175_s1,consensus independent component 60_big,-0.023825296807326563
87,consensus independent component 127_s1,consensus independent component 7_big,consensus independent component 61_s2,consensus independent component 36_big,-0.02471831639105651
54,consensus independent component 117_s1,consensus independent component 54_big,consensus independent component 28_s3,consensus independent component 54_big,-0.025177833190290183
210,consensus independent component 192_s1,consensus independent component 165_big,consensus independent component 136_s3,consensus independent component 53_big,-0.028195948499937937
283,consensus independent component 39_s3,consensus independent component 78_big,consensus independent component 188_s1,consensus independent component 156_big,-0.02958844434115475
439,consensus independent component 86_s3,consensus independent component 151_big,consensus independent component 10_s2,consensus independent component 53_big,-0.0331635107546832
96,consensus independent component 12_s1,consensus independent component 163_big,consensus independent component 52_s3,consensus independent component 96_big,-0.03390058484984369
145,consensus independent component 146_s3,consensus independent component 6_big,consensus independent component 10_s2,consensus independent component 53_big,-0.035316387282010905
394,consensus independent component 72_s3,consensus independent component 160_big,consensus independent component 125_s2,consensus independent component 159_big,-0.03725888970039437
171,consensus independent component 162_s1,consensus independent component 41_big,consensus independent component 57_s3,consensus independent component 41_big,-0.03749231235886985
297,consensus independent component 43_s2,consensus independent component 6_big,consensus independent component 176_s1,consensus independent component 138_big,-0.04015992473149279
252,consensus independent component 2_s2,consensus independent component 149_big,consensus independent component 99_s3,consensus independent component 17_big,-0.042962538497178564
202,consensus independent component 187_s1,consensus independent component 129_big,consensus independent component 48_s2,consensus independent component 72_big,-0.04854113601492477
340,consensus independent component 56_s3,consensus independent component 2_big,consensus independent component 111_s2,consensus independent component 29_big,-0.05170413509350664
56,consensus independent component 117_s3,consensus independent component 27_big,consensus independent component 175_s1,consensus independent component 60_big,-0.054424550626056764
146,consensus independent component 147_s1,consensus independent component 140_big,consensus independent component 3_s3,consensus independent component 5_big,-0.056033912784658406
147,consensus independent component 147_s3,consensus independent component 138_big,consensus independent component 125_s2,consensus independent component 159_big,-0.05655469238483308
142,consensus independent component 145_s1,consensus independent component 153_big,consensus independent component 44_s3,consensus independent component 134_big,-0.057369067549065816
118,consensus independent component 136_s2,consensus independent component 156_big,consensus independent component 188_s1,consensus independent component 156_big,-0.06329864431136235
52,consensus independent component 116_s2,consensus independent component 101_big,consensus independent component 74_s3,consensus independent component 112_big,-0.06511596045054527
333,consensus independent component 54_s2,consensus independent component 91_big,consensus independent component 117_s1,consensus independent component 54_big,-0.06694523481336516
169,consensus independent component 160_s1,consensus independent component 135_big,consensus independent component 17_s3,consensus independent component 105_big,-0.06763077721906638
8,consensus independent component 102_s3,consensus independent component 40_big,consensus independent component 77_s2,consensus independent component 36_big,-0.06949252548010143
106,consensus independent component 132_s2,consensus independent component 10_big,consensus independent component 52_s3,consensus independent component 96_big,-0.07173612307227778
204,consensus independent component 189_s1,consensus independent component 116_big,consensus independent component 81_s3,consensus independent component 68_big,-0.0725206631959396
86,consensus independent component 126_s3,consensus independent component 153_big,consensus independent component 28_s1,consensus independent component 153_big,-0.07852983672978534
109,consensus independent component 133_s2,consensus independent component 82_big,consensus independent component 42_s3,consensus independent component 87_big,-0.07949875874902243
268,consensus independent component 34_s3,consensus independent component 153_big,consensus independent component 21_s2,consensus independent component 153_big,-0.08487369417024217
442,consensus independent component 87_s3,consensus independent component 112_big,consensus independent component 130_s2,consensus independent component 170_big,-0.09147686279658315
300,consensus independent component 44_s2,consensus independent component 17_big,consensus independent component 90_s3,consensus independent component 143_big,-0.09693231098820305
306,consensus independent component 46_s2,consensus independent component 167_big,consensus independent component 70_s3,consensus independent component 72_big,-0.09751419966268852
226,consensus independent component 21_s3,consensus independent component 104_big,consensus independent component 175_s1,consensus independent component 60_big,-0.09843215582726207
400,consensus independent component 74_s3,consensus independent component 112_big,consensus independent component 77_s2,consensus independent component 36_big,-0.10018223929538941
322,consensus independent component 50_s3,consensus independent component 14_big,consensus independent component 50_s2,consensus independent component 156_big,-0.10961479868332788
319,consensus independent component 4_s3,consensus independent component 108_big,consensus independent component 65_s1,consensus independent component 108_big,-0.11133658467692775
386,consensus independent component 70_s1,consensus independent component 106_big,consensus independent component 48_s3,consensus independent component 106_big,-0.1119506617246086
20,consensus independent component 106_s3,consensus independent component 161_big,consensus independent component 49_s2,consensus independent component 74_big,-0.11288211359555894
92,consensus independent component 128_s3,consensus independent component 54_big,consensus independent component 176_s1,consensus independent component 138_big,-0.12314696937264741
23,consensus independent component 107_s3,consensus independent component 138_big,consensus independent component 186_s1,consensus independent component 24_big,-0.1242117927152591
122,consensus independent component 137_s3,consensus independent component 6_big,consensus independent component 167_s1,consensus independent component 108_big,-0.12700955275620396
427,consensus independent component 82_s3,consensus independent component 143_big,consensus independent component 167_s1,consensus independent component 108_big,-0.12933549718106852
229,consensus independent component 22_s3,consensus independent component 138_big,consensus independent component 176_s1,consensus independent component 138_big,-0.1310554009178102
74,consensus independent component 122_s3,consensus independent component 125_big,consensus independent component 175_s1,consensus independent component 60_big,-0.13251408454683655
41,consensus independent component 112_s3,consensus independent component 39_big,consensus independent component 136_s2,consensus independent component 156_big,-0.13437651005738072
182,consensus independent component 170_s1,consensus independent component 61_big,consensus independent component 57_s3,consensus independent component 41_big,-0.135844981487002
463,consensus independent component 93_s3,consensus independent component 105_big,consensus independent component 175_s1,consensus independent component 60_big,-0.13747148977715246
165,consensus independent component 159_s1,consensus independent component 36_big,consensus independent component 94_s3,consensus independent component 128_big,-0.14175434778837978
94,consensus independent component 129_s2,consensus independent component 122_big,consensus independent component 86_s3,consensus independent component 151_big,-0.14805144498332734
14,consensus independent component 104_s3,consensus independent component 89_big,consensus independent component 73_s2,consensus independent component 89_big,-0.15325337170432812
113,consensus independent component 134_s3,consensus independent component 157_big,consensus independent component 167_s1,consensus independent component 108_big,-0.15370997003197578
299,consensus independent component 44_s1,consensus independent component 79_big,consensus independent component 57_s2,consensus independent component 79_big,-0.15807411145775452
200,consensus independent component 185_s1,consensus independent component 55_big,consensus independent component 38_s3,consensus independent component 55_big,-0.1608546174234779
32,consensus independent component 10_s3,consensus independent component 3_big,consensus independent component 77_s2,consensus independent component 36_big,-0.16303876882271742
220,consensus independent component 1_s3,consensus independent component 34_big,consensus independent component 175_s1,consensus independent component 60_big,-0.163485602963314
348,consensus independent component 59_s2,consensus independent component 112_big,consensus independent component 170_s1,consensus independent component 61_big,-0.16578080275554657
402,consensus independent component 75_s2,consensus independent component 113_big,consensus independent component 30_s3,consensus independent component 39_big,-0.16620350197676556
172,consensus independent component 163_s1,consensus independent component 142_big,consensus independent component 18_s2,consensus independent component 142_big,-0.17021590006498344
471,consensus independent component 96_s2,consensus independent component 1_big,consensus independent component 186_s1,consensus independent component 24_big,-0.1781411215954603
261,consensus independent component 32_s2,consensus independent component 18_big,consensus independent component 31_s3,consensus independent component 104_big,-0.18560146037139635
155,consensus independent component 150_s1,consensus independent component 143_big,consensus independent component 6_s2,consensus independent component 143_big,-0.18629248731181813
104,consensus independent component 131_s3,consensus independent component 125_big,consensus independent component 114_s2,consensus independent component 125_big,-0.18643222360673067
7,consensus independent component 102_s2,consensus independent component 41_big,consensus independent component 57_s3,consensus independent component 41_big,-0.1875400669212664
460,consensus independent component 92_s3,consensus independent component 159_big,consensus independent component 149_s1,consensus independent component 159_big,-0.18954794818450993
