,Small Component,Big Component,Small2 Component,Big2 Component,Score
315,consensus independent component 1_s1,consensus independent component 142_big,consensus independent component 112_s4,consensus independent component 159_big,0.676114120354081
55,consensus independent component 112_s4,consensus independent component 159_big,consensus independent component 1_s1,consensus independent component 142_big,0.6732984456675875
332,consensus independent component 22_s2,consensus independent component 76_big,consensus independent component 1_s1,consensus independent component 142_big,0.6519704441398488
357,consensus independent component 28_s3,consensus independent component 159_big,consensus independent component 22_s2,consensus independent component 76_big,0.5785283568153134
203,consensus independent component 154_s2,consensus independent component 117_big,consensus independent component 18_s3,consensus independent component 27_big,0.5030167704239578
289,consensus independent component 18_s3,consensus independent component 27_big,consensus independent component 154_s2,consensus independent component 117_big,0.4781266106054119
604,consensus independent component 84_s2,consensus independent component 53_big,consensus independent component 83_s3,consensus independent component 151_big,0.4473355414189729
250,consensus independent component 173_s4,consensus independent component 168_big,consensus independent component 56_s2,consensus independent component 168_big,0.4432044378222341
480,consensus independent component 56_s2,consensus independent component 168_big,consensus independent component 173_s4,consensus independent component 168_big,0.4135125576344899
601,consensus independent component 83_s3,consensus independent component 151_big,consensus independent component 84_s2,consensus independent component 53_big,0.38047805333607904
559,consensus independent component 74_s1,consensus independent component 122_big,consensus independent component 163_s4,consensus independent component 151_big,0.3282342719622824
296,consensus independent component 192_s4,consensus independent component 156_big,consensus independent component 51_s1,consensus independent component 36_big,0.3236717679378526
459,consensus independent component 51_s1,consensus independent component 36_big,consensus independent component 192_s4,consensus independent component 156_big,0.31678560579786214
278,consensus independent component 185_s4,consensus independent component 60_big,consensus independent component 151_s2,consensus independent component 60_big,0.30099391850533813
226,consensus independent component 163_s4,consensus independent component 151_big,consensus independent component 74_s1,consensus independent component 122_big,0.26786202759637573
222,consensus independent component 161_s4,consensus independent component 61_big,consensus independent component 89_s1,consensus independent component 27_big,0.2619788317751892
562,consensus independent component 74_s4,consensus independent component 137_big,consensus independent component 8_s2,consensus independent component 112_big,0.25884749370525423
60,consensus independent component 114_s1,consensus independent component 118_big,consensus independent component 128_s2,consensus independent component 108_big,0.2451530279703108
628,consensus independent component 8_s2,consensus independent component 112_big,consensus independent component 74_s4,consensus independent component 137_big,0.24088867060546804
214,consensus independent component 159_s4,consensus independent component 55_big,consensus independent component 23_s2,consensus independent component 55_big,0.23730986808246618
234,consensus independent component 167_s4,consensus independent component 58_big,consensus independent component 5_s3,consensus independent component 41_big,0.23238566459173532
651,consensus independent component 95_s1,consensus independent component 137_big,consensus independent component 174_s4,consensus independent component 60_big,0.23191664447884983
626,consensus independent component 89_s4,consensus independent component 138_big,consensus independent component 36_s3,consensus independent component 105_big,0.22220516251893369
252,consensus independent component 174_s4,consensus independent component 60_big,consensus independent component 95_s1,consensus independent component 137_big,0.21851348879884067
209,consensus independent component 157_s2,consensus independent component 41_big,consensus independent component 101_s1,consensus independent component 41_big,0.21022909814454271
455,consensus independent component 50_s1,consensus independent component 74_big,consensus independent component 151_s2,consensus independent component 60_big,0.2008533869659156
103,consensus independent component 123_s4,consensus independent component 20_big,consensus independent component 8_s2,consensus independent component 112_big,0.1918925581771596
547,consensus independent component 71_s1,consensus independent component 14_big,consensus independent component 64_s2,consensus independent component 156_big,0.18776681754698338
320,consensus independent component 200_s4,consensus independent component 2_big,consensus independent component 70_s2,consensus independent component 30_big,0.18599159733431897
121,consensus independent component 128_s2,consensus independent component 108_big,consensus independent component 114_s1,consensus independent component 118_big,0.17426466434001336
393,consensus independent component 36_s3,consensus independent component 105_big,consensus independent component 89_s4,consensus independent component 138_big,0.1706064554653649
456,consensus independent component 50_s2,consensus independent component 31_big,consensus independent component 160_s4,consensus independent component 31_big,0.16233238274402384
220,consensus independent component 160_s4,consensus independent component 31_big,consensus independent component 50_s2,consensus independent component 31_big,0.1606122412020159
416,consensus independent component 41_s2,consensus independent component 150_big,consensus independent component 196_s4,consensus independent component 150_big,0.15527195640612196
90,consensus independent component 120_s3,consensus independent component 53_big,consensus independent component 84_s2,consensus independent component 53_big,0.15386173095763528
304,consensus independent component 196_s4,consensus independent component 150_big,consensus independent component 12_s2,consensus independent component 150_big,0.15142260289548043
650,consensus independent component 94_s4,consensus independent component 134_big,consensus independent component 110_s2,consensus independent component 107_big,0.12748745689379998
623,consensus independent component 89_s1,consensus independent component 27_big,consensus independent component 161_s4,consensus independent component 61_big,0.1193621054770338
611,consensus independent component 86_s1,consensus independent component 137_big,consensus independent component 128_s2,consensus independent component 108_big,0.11776413854503089
606,consensus independent component 84_s4,consensus independent component 143_big,consensus independent component 36_s3,consensus independent component 105_big,0.11160028038773778
45,consensus independent component 110_s2,consensus independent component 107_big,consensus independent component 36_s3,consensus independent component 105_big,0.10877313279314968
388,consensus independent component 35_s2,consensus independent component 163_big,consensus independent component 39_s3,consensus independent component 138_big,0.10814843185515965
170,consensus independent component 140_s4,consensus independent component 153_big,consensus independent component 139_s2,consensus independent component 67_big,0.10805623847462421
306,consensus independent component 197_s4,consensus independent component 138_big,consensus independent component 39_s3,consensus independent component 138_big,0.10320596305926517
305,consensus independent component 197_s2,consensus independent component 111_big,consensus independent component 40_s4,consensus independent component 111_big,0.10231004232076851
178,consensus independent component 143_s4,consensus independent component 153_big,consensus independent component 54_s3,consensus independent component 157_big,0.08774052931402943
324,consensus independent component 20_s2,consensus independent component 91_big,consensus independent component 3_s1,consensus independent component 67_big,0.08517349801286253
197,consensus independent component 151_s2,consensus independent component 60_big,consensus independent component 185_s4,consensus independent component 60_big,0.08488766326267505
349,consensus independent component 26_s3,consensus independent component 108_big,consensus independent component 34_s4,consensus independent component 108_big,0.08442100826713556
261,consensus independent component 179_s2,consensus independent component 149_big,consensus independent component 51_s4,consensus independent component 149_big,0.07962839691708856
