,0,1,2
64,consensus independent component 124_s2,consensus independent component 82_s1,consensus independent component 122_big
65,consensus independent component 57_s2,consensus independent component 189_s1,consensus independent component 30_big
66,consensus independent component 106_s1,consensus independent component 205_s2,consensus independent component 93_big
67,consensus independent component 16_s2,consensus independent component 6_s1,consensus independent component 5_big
68,consensus independent component 99_s2,consensus independent component 64_s1,consensus independent component 68_big
69,consensus independent component 105_s2,consensus independent component 122_s1,consensus independent component 48_big
70,consensus independent component 10_s2,consensus independent component 39_s1,consensus independent component 25_big
71,consensus independent component 21_s2,consensus independent component 1_s1,consensus independent component 18_big
72,consensus independent component 75_s2,consensus independent component 81_s1,consensus independent component 92_big
73,consensus independent component 65_s2,consensus independent component 62_s1,consensus independent component 74_big
74,consensus independent component 56_s2,consensus independent component 133_s1,consensus independent component 71_big
75,consensus independent component 32_s2,consensus independent component 26_s1,consensus independent component 2_big
76,consensus independent component 120_s1,consensus independent component 119_s2,consensus independent component 65_big
77,consensus independent component 122_s2,consensus independent component 120_s1,consensus independent component 56_big
78,consensus independent component 69_s2,consensus independent component 89_s1,consensus independent component 55_big
79,consensus independent component 133_s2,consensus independent component 84_s1,consensus independent component 130_big
80,consensus independent component 154_s2,consensus independent component 77_s1,consensus independent component 163_big
81,consensus independent component 74_s2,consensus independent component 98_s1,consensus independent component 57_big
82,consensus independent component 110_s1,consensus independent component 198_s2,consensus independent component 133_big
83,consensus independent component 152_s2,consensus independent component 27_s1,consensus independent component 137_big
84,consensus independent component 116_s1,consensus independent component 198_s2,consensus independent component 133_big
85,consensus independent component 111_s2,consensus independent component 163_s1,consensus independent component 91_big
86,consensus independent component 130_s2,consensus independent component 95_s1,consensus independent component 78_big
87,consensus independent component 26_s2,consensus independent component 46_s1,consensus independent component 100_big
88,consensus independent component 90_s2,consensus independent component 48_s1,consensus independent component 123_big
89,consensus independent component 83_s2,consensus independent component 94_s1,consensus independent component 61_big
90,consensus independent component 201_s1,consensus independent component 64_s2,consensus independent component 79_big
91,consensus independent component 11_s2,consensus independent component 15_s1,consensus independent component 34_big
92,consensus independent component 55_s2,consensus independent component 24_s1,consensus independent component 72_big
93,consensus independent component 23_s2,consensus independent component 2_s1,consensus independent component 20_big
94,consensus independent component 46_s2,consensus independent component 51_s1,consensus independent component 136_big
95,consensus independent component 73_s2,consensus independent component 33_s1,consensus independent component 116_big
96,consensus independent component 147_s2,consensus independent component 78_s1,consensus independent component 82_big
97,consensus independent component 191_s2,consensus independent component 63_s1,consensus independent component 83_big
98,consensus independent component 173_s2,consensus independent component 164_s1,consensus independent component 162_big
99,consensus independent component 13_s2,consensus independent component 10_s1,consensus independent component 29_big
100,consensus independent component 172_s2,consensus independent component 123_s1,consensus independent component 63_big
101,consensus independent component 201_s1,consensus independent component 64_s2,consensus independent component 155_big
102,consensus independent component 197_s2,consensus independent component 151_s1,consensus independent component 160_big
103,consensus independent component 89_s2,consensus independent component 92_s1,consensus independent component 51_big
104,consensus independent component 136_s2,consensus independent component 137_s1,consensus independent component 145_big
