,Small Component,Big Component,Small2 Component,Big2 Component,Score
157,consensus independent component 171_s2,consensus independent component 170_big,consensus independent component 145_s1,consensus independent component 170_big,-0.13130058989652704
357,consensus independent component 71_s1,consensus independent component 47_big,consensus independent component 79_s2,consensus independent component 47_big,-0.13179559521102824
380,consensus independent component 81_s2,consensus independent component 8_big,consensus independent component 130_s1,consensus independent component 8_big,-0.13402191895003024
8,consensus independent component 104_s1,consensus independent component 60_big,consensus independent component 93_s2,consensus independent component 60_big,-0.134397263461139
267,consensus independent component 30_s1,consensus independent component 89_big,consensus independent component 53_s2,consensus independent component 89_big,-0.13593369310516734
173,consensus independent component 179_s2,consensus independent component 167_big,consensus independent component 152_s1,consensus independent component 167_big,-0.14028637940244604
292,consensus independent component 41_s2,consensus independent component 87_big,consensus independent component 73_s1,consensus independent component 87_big,-0.14052814800202063
19,consensus independent component 109_s2,consensus independent component 23_big,consensus independent component 8_s1,consensus independent component 23_big,-0.14106051866137947
36,consensus independent component 117_s1,consensus independent component 24_big,consensus independent component 36_s2,consensus independent component 24_big,-0.1426105349643103
403,consensus independent component 92_s1,consensus independent component 51_big,consensus independent component 89_s2,consensus independent component 51_big,-0.14329603324728057
71,consensus independent component 132_s2,consensus independent component 113_big,consensus independent component 91_s1,consensus independent component 113_big,-0.14366361659199145
116,consensus independent component 153_s1,consensus independent component 33_big,consensus independent component 178_s2,consensus independent component 33_big,-0.14460322249067614
197,consensus independent component 18_s2,consensus independent component 48_big,consensus independent component 198_s1,consensus independent component 150_big,-0.14699652397300705
213,consensus independent component 197_s2,consensus independent component 160_big,consensus independent component 151_s1,consensus independent component 160_big,-0.14866751374395648
79,consensus independent component 136_s2,consensus independent component 145_big,consensus independent component 137_s1,consensus independent component 145_big,-0.15039017384861064
87,consensus independent component 13_s2,consensus independent component 29_big,consensus independent component 10_s1,consensus independent component 29_big,-0.15933916385956715
159,consensus independent component 172_s2,consensus independent component 63_big,consensus independent component 123_s1,consensus independent component 63_big,-0.16382545637491597
140,consensus independent component 164_s1,consensus independent component 162_big,consensus independent component 173_s2,consensus independent component 162_big,-0.16606082556074608
407,consensus independent component 94_s1,consensus independent component 61_big,consensus independent component 83_s2,consensus independent component 61_big,-0.17160173234678344
252,consensus independent component 23_s2,consensus independent component 20_big,consensus independent component 2_s1,consensus independent component 20_big,-0.17541496148238334
273,consensus independent component 33_s1,consensus independent component 116_big,consensus independent component 73_s2,consensus independent component 116_big,-0.17723827840126016
305,consensus independent component 48_s1,consensus independent component 123_big,consensus independent component 90_s2,consensus independent component 123_big,-0.1778363525161072
302,consensus independent component 46_s2,consensus independent component 136_big,consensus independent component 51_s1,consensus independent component 136_big,-0.17791696854684946
67,consensus independent component 130_s2,consensus independent component 78_big,consensus independent component 95_s1,consensus independent component 78_big,-0.17839188390826688
369,consensus independent component 77_s1,consensus independent component 163_big,consensus independent component 154_s2,consensus independent component 163_big,-0.18655694541404333
130,consensus independent component 15_s1,consensus independent component 34_big,consensus independent component 11_s2,consensus independent component 34_big,-0.18810443356317508
258,consensus independent component 26_s2,consensus independent component 100_big,consensus independent component 46_s1,consensus independent component 100_big,-0.18884125116613348
352,consensus independent component 69_s2,consensus independent component 55_big,consensus independent component 89_s1,consensus independent component 55_big,-0.1933693298881911
415,consensus independent component 98_s1,consensus independent component 57_big,consensus independent component 74_s2,consensus independent component 57_big,-0.19380160344166175
232,consensus independent component 205_s1,consensus independent component 138_big,consensus independent component 141_s2,consensus independent component 163_big,-0.1941911758456788
248,consensus independent component 21_s2,consensus independent component 18_big,consensus independent component 1_s1,consensus independent component 18_big,-0.2030330165754356
253,consensus independent component 24_s1,consensus independent component 72_big,consensus independent component 55_s2,consensus independent component 72_big,-0.2035854411670961
272,consensus independent component 32_s2,consensus independent component 2_big,consensus independent component 26_s1,consensus independent component 2_big,-0.20459436370154793
285,consensus independent component 39_s1,consensus independent component 25_big,consensus independent component 10_s2,consensus independent component 25_big,-0.20538394401075322
103,consensus independent component 147_s2,consensus independent component 82_big,consensus independent component 78_s1,consensus independent component 82_big,-0.2054102380164058
337,consensus independent component 62_s1,consensus independent component 74_big,consensus independent component 65_s2,consensus independent component 74_big,-0.21143172004025368
115,consensus independent component 152_s2,consensus independent component 137_big,consensus independent component 27_s1,consensus independent component 137_big,-0.2116803655359123
341,consensus independent component 64_s1,consensus independent component 68_big,consensus independent component 99_s2,consensus independent component 68_big,-0.2128705539255109
366,consensus independent component 75_s2,consensus independent component 92_big,consensus independent component 81_s1,consensus independent component 92_big,-0.21892350128674443
153,consensus independent component 16_s2,consensus independent component 5_big,consensus independent component 6_s1,consensus independent component 5_big,-0.22074003114125818
339,consensus independent component 63_s1,consensus independent component 83_big,consensus independent component 191_s2,consensus independent component 83_big,-0.22236686293140373
324,consensus independent component 56_s2,consensus independent component 71_big,consensus independent component 133_s1,consensus independent component 71_big,-0.22261302571697517
356,consensus independent component 70_s2,consensus independent component 118_big,consensus independent component 99_s1,consensus independent component 118_big,-0.23012326598471045
309,consensus independent component 4_s1,consensus independent component 76_big,consensus independent component 9_s2,consensus independent component 76_big,-0.23449459516897764
308,consensus independent component 49_s2,consensus independent component 75_big,consensus independent component 12_s1,consensus independent component 75_big,-0.23994920875438985
299,consensus independent component 45_s1,consensus independent component 105_big,consensus independent component 163_s2,consensus independent component 105_big,-0.23999854693190514
393,consensus independent component 88_s1,consensus independent component 43_big,consensus independent component 29_s2,consensus independent component 43_big,-0.24072201071370525
385,consensus independent component 84_s1,consensus independent component 130_big,consensus independent component 133_s2,consensus independent component 130_big,-0.2407617401418648
277,consensus independent component 35_s1,consensus independent component 95_big,consensus independent component 33_s2,consensus independent component 95_big,-0.2409689137541855
49,consensus independent component 122_s2,consensus independent component 56_big,consensus independent component 120_s1,consensus independent component 56_big,-0.24261674621492169
365,consensus independent component 75_s1,consensus independent component 27_big,consensus independent component 88_s2,consensus independent component 27_big,-0.24683300074794878
375,consensus independent component 7_s1,consensus independent component 58_big,consensus independent component 60_s2,consensus independent component 58_big,-0.25120947232514457
29,consensus independent component 113_s2,consensus independent component 69_big,consensus independent component 105_s1,consensus independent component 69_big,-0.2527639271428527
226,consensus independent component 202_s1,consensus independent component 160_big,consensus independent component 214_s2,consensus independent component 108_big,-0.2549346886011713
5,consensus independent component 102_s2,consensus independent component 38_big,consensus independent component 165_s1,consensus independent component 38_big,-0.25701432785633516
279,consensus independent component 36_s1,consensus independent component 135_big,consensus independent component 12_s2,consensus independent component 135_big,-0.2570409346762178
410,consensus independent component 95_s2,consensus independent component 133_big,consensus independent component 110_s1,consensus independent component 133_big,-0.2574494751006212
326,consensus independent component 57_s2,consensus independent component 30_big,consensus independent component 189_s1,consensus independent component 30_big,-0.2577224744241502
144,consensus independent component 166_s1,consensus independent component 44_big,consensus independent component 114_s2,consensus independent component 44_big,-0.2613257285896526
307,consensus independent component 49_s1,consensus independent component 37_big,consensus independent component 131_s2,consensus independent component 37_big,-0.26208070422667384
23,consensus independent component 110_s2,consensus independent component 41_big,consensus independent component 70_s1,consensus independent component 41_big,-0.2638183602915921
48,consensus independent component 122_s1,consensus independent component 48_big,consensus independent component 105_s2,consensus independent component 48_big,-0.26589462611454884
174,consensus independent component 17_s1,consensus independent component 98_big,consensus independent component 61_s2,consensus independent component 98_big,-0.26789669702786933
215,consensus independent component 198_s2,consensus independent component 158_big,consensus independent component 116_s1,consensus independent component 133_big,-0.2692208315402137
53,consensus independent component 124_s2,consensus independent component 122_big,consensus independent component 82_s1,consensus independent component 122_big,-0.2696945778854224
74,consensus independent component 134_s1,consensus independent component 84_big,consensus independent component 168_s2,consensus independent component 84_big,-0.27209883600236384
25,consensus independent component 111_s2,consensus independent component 91_big,consensus independent component 163_s1,consensus independent component 91_big,-0.2746175335586085
321,consensus independent component 55_s1,consensus independent component 128_big,consensus independent component 103_s2,consensus independent component 128_big,-0.2786247856365899
14,consensus independent component 107_s1,consensus independent component 88_big,consensus independent component 127_s2,consensus independent component 88_big,-0.2824245402356874
405,consensus independent component 93_s1,consensus independent component 6_big,consensus independent component 76_s2,consensus independent component 6_big,-0.28602273302511866
110,consensus independent component 150_s1,consensus independent component 53_big,consensus independent component 51_s2,consensus independent component 53_big,-0.287636250469381
158,consensus independent component 172_s1,consensus independent component 112_big,consensus independent component 161_s2,consensus independent component 112_big,-0.28917790094956924
118,consensus independent component 154_s1,consensus independent component 65_big,consensus independent component 119_s2,consensus independent component 65_big,-0.29525745738312803
38,consensus independent component 118_s1,consensus independent component 3_big,consensus independent component 98_s2,consensus independent component 3_big,-0.2961908270331785
304,consensus independent component 47_s2,consensus independent component 12_big,consensus independent component 38_s1,consensus independent component 12_big,-0.2983036688283627
276,consensus independent component 34_s2,consensus independent component 17_big,consensus independent component 126_s1,consensus independent component 17_big,-0.30103856860043937
284,consensus independent component 38_s2,consensus independent component 115_big,consensus independent component 97_s1,consensus independent component 115_big,-0.30414600303511474
90,consensus independent component 141_s1,consensus independent component 106_big,consensus independent component 150_s2,consensus independent component 106_big,-0.30546595286518224
120,consensus independent component 155_s1,consensus independent component 101_big,consensus independent component 129_s2,consensus independent component 101_big,-0.3055551682013852
143,consensus independent component 165_s2,consensus independent component 119_big,consensus independent component 139_s1,consensus independent component 119_big,-0.3094846974165187
107,consensus independent component 149_s2,consensus independent component 13_big,consensus independent component 67_s1,consensus independent component 13_big,-0.31230384588366267
109,consensus independent component 14_s2,consensus independent component 35_big,consensus independent component 14_s1,consensus independent component 35_big,-0.31541173547816054
269,consensus independent component 31_s1,consensus independent component 16_big,consensus independent component 19_s2,consensus independent component 16_big,-0.3154629837662501
175,consensus independent component 17_s2,consensus independent component 59_big,consensus independent component 22_s1,consensus independent component 59_big,-0.31636530866380363
52,consensus independent component 124_s1,consensus independent component 125_big,consensus independent component 177_s2,consensus independent component 125_big,-0.31786774958717834
315,consensus independent component 52_s1,consensus independent component 22_big,consensus independent component 117_s2,consensus independent component 22_big,-0.31957681346711825
233,consensus independent component 205_s2,consensus independent component 93_big,consensus independent component 161_s1,consensus independent component 93_big,-0.3211030338821069
340,consensus independent component 63_s2,consensus independent component 97_big,consensus independent component 108_s1,consensus independent component 97_big,-0.3214956503658539
32,consensus independent component 115_s1,consensus independent component 96_big,consensus independent component 63_s2,consensus independent component 97_big,-0.32197200860601605
151,consensus independent component 169_s2,consensus independent component 149_big,consensus independent component 163_s1,consensus independent component 91_big,-0.32208285843202106
47,consensus independent component 121_s2,consensus independent component 28_big,consensus independent component 53_s1,consensus independent component 28_big,-0.32491105916289004
382,consensus independent component 82_s2,consensus independent component 77_big,consensus independent component 60_s1,consensus independent component 77_big,-0.3264556999612804
99,consensus independent component 145_s2,consensus independent component 125_big,consensus independent component 124_s1,consensus independent component 125_big,-0.3282729260917434
354,consensus independent component 6_s2,consensus independent component 45_big,consensus independent component 28_s1,consensus independent component 45_big,-0.3283180915264971
291,consensus independent component 41_s1,consensus independent component 11_big,consensus independent component 31_s2,consensus independent component 11_big,-0.3291382220321221
57,consensus independent component 126_s2,consensus independent component 46_big,consensus independent component 140_s1,consensus independent component 46_big,-0.3358454278205772
297,consensus independent component 44_s1,consensus independent component 40_big,consensus independent component 40_s2,consensus independent component 40_big,-0.3440050359781013
225,consensus independent component 201_s2,consensus independent component 168_big,consensus independent component 198_s1,consensus independent component 150_big,-0.3441354226692679
167,consensus independent component 176_s2,consensus independent component 64_big,consensus independent component 125_s1,consensus independent component 64_big,-0.34706061997987775
376,consensus independent component 7_s2,consensus independent component 9_big,consensus independent component 9_s1,consensus independent component 9_big,-0.34917098816740827
42,consensus independent component 11_s1,consensus independent component 90_big,consensus independent component 72_s2,consensus independent component 90_big,-0.3536233902227709
216,consensus independent component 199_s1,consensus independent component 114_big,consensus independent component 116_s2,consensus independent component 109_big,-0.3542179138086078
224,consensus independent component 201_s1,consensus independent component 155_big,consensus independent component 64_s2,consensus independent component 79_big,-0.35459501067196275
343,consensus independent component 65_s1,consensus independent component 80_big,consensus independent component 39_s2,consensus independent component 80_big,-0.3580217728967434
26,consensus independent component 112_s1,consensus independent component 7_big,consensus independent component 71_s2,consensus independent component 7_big,-0.3656689214159974
34,consensus independent component 116_s1,consensus independent component 133_big,consensus independent component 95_s2,consensus independent component 133_big,-0.36612252378648863
293,consensus independent component 42_s1,consensus independent component 49_big,consensus independent component 87_s2,consensus independent component 49_big,-0.3711064453099261
181,consensus independent component 182_s2,consensus independent component 114_big,consensus independent component 199_s1,consensus independent component 114_big,-0.3733053474349976
129,consensus independent component 159_s2,consensus independent component 81_big,consensus independent component 153_s1,consensus independent component 33_big,-0.37352446784839766
113,consensus independent component 151_s2,consensus independent component 110_big,consensus independent component 23_s1,consensus independent component 110_big,-0.37952199022119026
40,consensus independent component 119_s1,consensus independent component 127_big,consensus independent component 107_s2,consensus independent component 127_big,-0.3845491273299703
303,consensus independent component 47_s1,consensus independent component 135_big,consensus independent component 12_s2,consensus independent component 135_big,-0.3865059816409773
363,consensus independent component 74_s1,consensus independent component 10_big,consensus independent component 137_s2,consensus independent component 10_big,-0.3878156720117086
205,consensus independent component 193_s2,consensus independent component 85_big,consensus independent component 188_s1,consensus independent component 85_big,-0.3879834855714289
145,consensus independent component 166_s2,consensus independent component 86_big,consensus independent component 109_s1,consensus independent component 86_big,-0.3947719366389263
127,consensus independent component 158_s2,consensus independent component 152_big,consensus independent component 141_s1,consensus independent component 106_big,-0.39651442258717484
83,consensus independent component 138_s2,consensus independent component 126_big,consensus independent component 82_s1,consensus independent component 122_big,-0.39963747088854723
62,consensus independent component 129_s1,consensus independent component 42_big,consensus independent component 91_s2,consensus independent component 42_big,-0.40285952441377726
391,consensus independent component 87_s1,consensus independent component 19_big,consensus independent component 137_s2,consensus independent component 10_big,-0.40805921971944153
93,consensus independent component 142_s2,consensus independent component 62_big,consensus independent component 84_s1,consensus independent component 130_big,-0.41035832570839437
295,consensus independent component 43_s1,consensus independent component 26_big,consensus independent component 87_s2,consensus independent component 49_big,-0.41624762411695726
236,consensus independent component 207_s1,consensus independent component 43_big,consensus independent component 29_s2,consensus independent component 43_big,-0.428555657629343
136,consensus independent component 162_s1,consensus independent component 117_big,consensus independent component 73_s2,consensus independent component 116_big,-0.43044713318298544
230,consensus independent component 204_s1,consensus independent component 63_big,consensus independent component 172_s2,consensus independent component 63_big,-0.44126596519656164
106,consensus independent component 149_s1,consensus independent component 139_big,consensus independent component 144_s2,consensus independent component 139_big,-0.4644592038399784
191,consensus independent component 187_s2,consensus independent component 146_big,consensus independent component 167_s1,consensus independent component 103_big,-0.46790652688386236
97,consensus independent component 144_s2,consensus independent component 139_big,consensus independent component 32_s1,consensus independent component 31_big,-0.47521253232459687
246,consensus independent component 214_s2,consensus independent component 108_big,consensus independent component 143_s1,consensus independent component 108_big,-0.4777681987653842
133,consensus independent component 160_s2,consensus independent component 72_big,consensus independent component 24_s1,consensus independent component 72_big,-0.5045402454702359
332,consensus independent component 5_s2,consensus independent component 153_big,consensus independent component 47_s1,consensus independent component 135_big,-0.5060981006388582
206,consensus independent component 194_s1,consensus independent component 81_big,consensus independent component 159_s2,consensus independent component 81_big,-0.509546171898677
217,consensus independent component 199_s2,consensus independent component 153_big,consensus independent component 27_s1,consensus independent component 137_big,-0.5125855671605393
186,consensus independent component 185_s1,consensus independent component 139_big,consensus independent component 144_s2,consensus independent component 139_big,-0.5191417200806656
125,consensus independent component 157_s2,consensus independent component 155_big,consensus independent component 132_s1,consensus independent component 138_big,-0.5194841834976152
316,consensus independent component 52_s2,consensus independent component 36_big,consensus independent component 105_s1,consensus independent component 69_big,-0.5272223704680568
222,consensus independent component 200_s1,consensus independent component 113_big,consensus independent component 132_s2,consensus independent component 113_big,-0.5339670006573396
207,consensus independent component 194_s2,consensus independent component 23_big,consensus independent component 8_s1,consensus independent component 23_big,-0.5352442170262339
412,consensus independent component 96_s2,consensus independent component 168_big,consensus independent component 85_s1,consensus independent component 124_big,-0.5465849236203979
176,consensus independent component 180_s1,consensus independent component 156_big,consensus independent component 120_s2,consensus independent component 156_big,-0.5551642101197929
82,consensus independent component 138_s1,consensus independent component 139_big,consensus independent component 144_s2,consensus independent component 139_big,-0.5623328336314061
203,consensus independent component 192_s2,consensus independent component 94_big,consensus independent component 182_s1,consensus independent component 94_big,-0.584568078700082
282,consensus independent component 37_s2,consensus independent component 107_big,consensus independent component 46_s1,consensus independent component 100_big,-0.5853117113495757
28,consensus independent component 113_s1,consensus independent component 36_big,consensus independent component 52_s2,consensus independent component 36_big,-0.5853907154437057
325,consensus independent component 57_s1,consensus independent component 157_big,consensus independent component 145_s2,consensus independent component 125_big,-0.5894771794862561
198,consensus independent component 190_s1,consensus independent component 139_big,consensus independent component 144_s2,consensus independent component 139_big,-0.6059735956906024
163,consensus independent component 174_s2,consensus independent component 84_big,consensus independent component 134_s1,consensus independent component 84_big,-0.6134199605165843
100,consensus independent component 146_s1,consensus independent component 151_big,consensus independent component 101_s2,consensus independent component 67_big,-0.6142924918781074
185,consensus independent component 184_s2,consensus independent component 23_big,consensus independent component 8_s1,consensus independent component 23_big,-0.6146121204760672
182,consensus independent component 183_s1,consensus independent component 23_big,consensus independent component 109_s2,consensus independent component 23_big,-0.6299623677272892
147,consensus independent component 167_s2,consensus independent component 52_big,consensus independent component 7_s1,consensus independent component 58_big,-0.6495386420837611
105,consensus independent component 148_s2,consensus independent component 149_big,consensus independent component 158_s1,consensus independent component 106_big,-0.653419171400083
160,consensus independent component 173_s1,consensus independent component 166_big,consensus independent component 6_s2,consensus independent component 45_big,-0.6639007671852389
278,consensus independent component 35_s2,consensus independent component 23_big,consensus independent component 8_s1,consensus independent component 23_big,-0.6785606911102438
199,consensus independent component 190_s2,consensus independent component 100_big,consensus independent component 46_s1,consensus independent component 100_big,-0.7006082696636885
96,consensus independent component 144_s1,consensus independent component 8_big,consensus independent component 81_s2,consensus independent component 8_big,-0.7141549848165407
331,consensus independent component 5_s1,consensus independent component 153_big,consensus independent component 199_s2,consensus independent component 153_big,-0.7239817548401322
148,consensus independent component 168_s1,consensus independent component 171_big,consensus independent component 13_s2,consensus independent component 29_big,-0.7349669020137581
247,consensus independent component 21_s1,consensus independent component 36_big,consensus independent component 121_s2,consensus independent component 28_big,-0.7387554511138275
189,consensus independent component 186_s2,consensus independent component 116_big,consensus independent component 201_s1,consensus independent component 155_big,-0.7406959357456798
117,consensus independent component 153_s2,consensus independent component 72_big,consensus independent component 24_s1,consensus independent component 72_big,-0.7478269695097867
77,consensus independent component 135_s2,consensus independent component 150_big,consensus independent component 32_s1,consensus independent component 31_big,-0.7597717539116756
243,consensus independent component 211_s2,consensus independent component 32_big,consensus independent component 18_s1,consensus independent component 32_big,-0.7855086745864943
