,Small Component,Big Component,Small2 Component,Big2 Component,Score
131,consensus independent component 173_s2,consensus independent component 155_big,consensus independent component 24_s1,consensus independent component 21_big,-0.6090688516980627
283,consensus independent component 74_s1,consensus independent component 156_big,consensus independent component 38_s2,consensus independent component 101_big,-0.6092465561649847
160,consensus independent component 198_s2,consensus independent component 147_big,consensus independent component 57_s1,consensus independent component 64_big,-0.6109339165093699
320,consensus independent component 90_s2,consensus independent component 153_big,consensus independent component 133_s1,consensus independent component 153_big,-0.61482284091139
94,consensus independent component 143_s1,consensus independent component 154_big,consensus independent component 38_s2,consensus independent component 101_big,-0.619604628600518
311,consensus independent component 87_s1,consensus independent component 34_big,consensus independent component 97_s2,consensus independent component 42_big,-0.6261629787585572
13,consensus independent component 106_s2,consensus independent component 161_big,consensus independent component 68_s1,consensus independent component 61_big,-0.6276514559874377
17,consensus independent component 108_s2,consensus independent component 50_big,consensus independent component 57_s1,consensus independent component 64_big,-0.6298129155724378
331,consensus independent component 96_s1,consensus independent component 25_big,consensus independent component 74_s2,consensus independent component 25_big,-0.6354572891502835
105,consensus independent component 151_s2,consensus independent component 786_big,consensus independent component 41_s1,consensus independent component 151_big,-0.6375077527407771
121,consensus independent component 165_s2,consensus independent component 104_big,consensus independent component 107_s1,consensus independent component 20_big,-0.6394667958770588
238,consensus independent component 53_s2,consensus independent component 31_big,consensus independent component 22_s1,consensus independent component 17_big,-0.6468212113999201
286,consensus independent component 75_s2,consensus independent component 142_big,consensus independent component 121_s1,consensus independent component 98_big,-0.6479354320383796
48,consensus independent component 122_s1,consensus independent component 144_big,consensus independent component 119_s2,consensus independent component 106_big,-0.650902726712967
216,consensus independent component 43_s2,consensus independent component 460_big,consensus independent component 10_s1,consensus independent component 84_big,-0.653944325070545
247,consensus independent component 58_s1,consensus independent component 68_big,consensus independent component 125_s2,consensus independent component 68_big,-0.6554301175295002
37,consensus independent component 117_s2,consensus independent component 45_big,consensus independent component 67_s1,consensus independent component 27_big,-0.661187819724814
194,consensus independent component 33_s2,consensus independent component 404_big,consensus independent component 137_s1,consensus independent component 404_big,-0.668162902700368
236,consensus independent component 52_s2,consensus independent component 115_big,consensus independent component 3_s1,consensus independent component 107_big,-0.6730549489920304
290,consensus independent component 77_s2,consensus independent component 1202_big,consensus independent component 10_s1,consensus independent component 84_big,-0.6775467183903731
113,consensus independent component 159_s2,consensus independent component 54_big,consensus independent component 22_s1,consensus independent component 17_big,-0.6777578526211598
206,consensus independent component 39_s2,consensus independent component 91_big,consensus independent component 38_s1,consensus independent component 66_big,-0.6793982584577598
263,consensus independent component 65_s1,consensus independent component 144_big,consensus independent component 119_s2,consensus independent component 106_big,-0.6842362777076875
98,consensus independent component 146_s2,consensus independent component 123_big,consensus independent component 10_s1,consensus independent component 84_big,-0.6857626975357076
35,consensus independent component 116_s2,consensus independent component 148_big,consensus independent component 57_s1,consensus independent component 64_big,-0.691923429991117
101,consensus independent component 149_s2,consensus independent component 1072_big,consensus independent component 31_s1,consensus independent component 32_big,-0.6948089888911153
270,consensus independent component 68_s2,consensus independent component 121_big,consensus independent component 109_s1,consensus independent component 126_big,-0.6952478653471923
316,consensus independent component 89_s2,consensus independent component 160_big,consensus independent component 68_s1,consensus independent component 61_big,-0.6970321397051576
67,consensus independent component 130_s2,consensus independent component 59_big,consensus independent component 14_s1,consensus independent component 1779_big,-0.6990904719411618
274,consensus independent component 6_s2,consensus independent component 62_big,consensus independent component 107_s1,consensus independent component 20_big,-0.700322247041134
96,consensus independent component 144_s2,consensus independent component 175_big,consensus independent component 58_s1,consensus independent component 68_big,-0.7112996456800496
68,consensus independent component 131_s1,consensus independent component 69_big,consensus independent component 132_s2,consensus independent component 69_big,-0.7125309729693532
107,consensus independent component 153_s2,consensus independent component 152_big,consensus independent component 136_s1,consensus independent component 28_big,-0.7133755696090328
12,consensus independent component 106_s1,consensus independent component 1763_big,consensus independent component 121_s2,consensus independent component 105_big,-0.7155275944833199
287,consensus independent component 76_s1,consensus independent component 1682_big,consensus independent component 121_s2,consensus independent component 105_big,-0.7156486098131074
57,consensus independent component 126_s2,consensus independent component 178_big,consensus independent component 16_s1,consensus independent component 10_big,-0.7158213231359348
32,consensus independent component 115_s1,consensus independent component 179_big,consensus independent component 183_s2,consensus independent component 179_big,-0.7171853363159655
97,consensus independent component 145_s2,consensus independent component 133_big,consensus independent component 98_s1,consensus independent component 36_big,-0.7182881207856002
7,consensus independent component 103_s2,consensus independent component 14_big,consensus independent component 5_s1,consensus independent component 39_big,-0.7213314495105746
322,consensus independent component 91_s2,consensus independent component 48_big,consensus independent component 57_s1,consensus independent component 64_big,-0.7230722580814631
309,consensus independent component 86_s1,consensus independent component 137_big,consensus independent component 144_s2,consensus independent component 175_big,-0.7232836947642234
81,consensus independent component 137_s2,consensus independent component 92_big,consensus independent component 68_s1,consensus independent component 61_big,-0.7240497429239385
112,consensus independent component 158_s2,consensus independent component 74_big,consensus independent component 45_s1,consensus independent component 78_big,-0.7271413967921926
102,consensus independent component 14_s1,consensus independent component 1779_big,consensus independent component 111_s2,consensus independent component 82_big,-0.7368657084862369
43,consensus independent component 11_s2,consensus independent component 726_big,consensus independent component 10_s1,consensus independent component 84_big,-0.7375076753362129
196,consensus independent component 34_s2,consensus independent component 23_big,consensus independent component 75_s1,consensus independent component 844_big,-0.7384104301931849
61,consensus independent component 128_s2,consensus independent component 4_big,consensus independent component 7_s1,consensus independent component 33_big,-0.7457817920377813
114,consensus independent component 15_s1,consensus independent component 1670_big,consensus independent component 61_s2,consensus independent component 47_big,-0.7528688371865435
262,consensus independent component 64_s2,consensus independent component 95_big,consensus independent component 57_s1,consensus independent component 64_big,-0.7560546735613529
190,consensus independent component 31_s2,consensus independent component 1_big,consensus independent component 121_s1,consensus independent component 98_big,-0.7610108997350096
273,consensus independent component 6_s1,consensus independent component 146_big,consensus independent component 162_s2,consensus independent component 127_big,-0.7633844608225978
38,consensus independent component 118_s1,consensus independent component 69_big,consensus independent component 132_s2,consensus independent component 69_big,-0.7663719176137015
111,consensus independent component 157_s2,consensus independent component 170_big,consensus independent component 57_s1,consensus independent component 64_big,-0.7782527628450289
265,consensus independent component 66_s1,consensus independent component 136_big,consensus independent component 28_s2,consensus independent component 52_big,-0.781596238031513
278,consensus independent component 71_s2,consensus independent component 103_big,consensus independent component 67_s1,consensus independent component 27_big,-0.7861640623099395
184,consensus independent component 29_s2,consensus independent component 100_big,consensus independent component 135_s1,consensus independent component 25_big,-0.7869567837594447
116,consensus independent component 160_s2,consensus independent component 177_big,consensus independent component 10_s1,consensus independent component 84_big,-0.7871250118664067
235,consensus independent component 52_s1,consensus independent component 333_big,consensus independent component 57_s2,consensus independent component 36_big,-0.787428562878966
183,consensus independent component 29_s1,consensus independent component 167_big,consensus independent component 29_s2,consensus independent component 100_big,-0.7906499335027135
193,consensus independent component 33_s1,consensus independent component 901_big,consensus independent component 111_s2,consensus independent component 82_big,-0.7940424491460949
8,consensus independent component 104_s1,consensus independent component 735_big,consensus independent component 91_s2,consensus independent component 48_big,-0.798475250703192
240,consensus independent component 54_s2,consensus independent component 108_big,consensus independent component 135_s1,consensus independent component 25_big,-0.8014601955582057
16,consensus independent component 108_s1,consensus independent component 75_big,consensus independent component 112_s2,consensus independent component 49_big,-0.8031854723300089
291,consensus independent component 78_s1,consensus independent component 846_big,consensus independent component 56_s2,consensus independent component 29_big,-0.8098724609613535
140,consensus independent component 180_s2,consensus independent component 823_big,consensus independent component 25_s1,consensus independent component 76_big,-0.8111223370541858
36,consensus independent component 117_s1,consensus independent component 65_big,consensus independent component 48_s2,consensus independent component 15_big,-0.8171085609585799
44,consensus independent component 120_s1,consensus independent component 1754_big,consensus independent component 48_s2,consensus independent component 15_big,-0.8185575904559304
195,consensus independent component 34_s1,consensus independent component 1100_big,consensus independent component 112_s2,consensus independent component 49_big,-0.8204069204349579
164,consensus independent component 1_s2,consensus independent component 9_big,consensus independent component 27_s1,consensus independent component 63_big,-0.821091311470675
239,consensus independent component 54_s1,consensus independent component 1053_big,consensus independent component 25_s2,consensus independent component 33_big,-0.8218017672694425
233,consensus independent component 51_s1,consensus independent component 1084_big,consensus independent component 58_s2,consensus independent component 90_big,-0.823217335962588
65,consensus independent component 12_s2,consensus independent component 12_big,consensus independent component 3_s1,consensus independent component 107_big,-0.8234531206061051
249,consensus independent component 59_s1,consensus independent component 166_big,consensus independent component 25_s2,consensus independent component 33_big,-0.8258147375820615
294,consensus independent component 79_s2,consensus independent component 1573_big,consensus independent component 19_s1,consensus independent component 1748_big,-0.8326186376917932
42,consensus independent component 11_s1,consensus independent component 286_big,consensus independent component 126_s2,consensus independent component 178_big,-0.8346857552161944
39,consensus independent component 118_s2,consensus independent component 96_big,consensus independent component 39_s1,consensus independent component 44_big,-0.8387802017466988
74,consensus independent component 134_s1,consensus independent component 154_big,consensus independent component 48_s2,consensus independent component 15_big,-0.8414882519681982
250,consensus independent component 59_s2,consensus independent component 159_big,consensus independent component 142_s1,consensus independent component 105_big,-0.850956630555323
54,consensus independent component 125_s1,consensus independent component 154_big,consensus independent component 48_s2,consensus independent component 15_big,-0.8540077292723737
30,consensus independent component 114_s1,consensus independent component 65_big,consensus independent component 57_s2,consensus independent component 36_big,-0.8633376554019186
